index,index,text
35,35,"Congress has agreed to provide $ 8 Billion to fight Coronavirus ! This means @ CDCgov , @ HHSGov , and @ DHSgov will have …"
36,36,Check out today ' s # trumpvlog about the upcoming episode of @ ApprenticeNBC . . . . # celebrityapprenticefinale
37,37,@ BarackObama - - - great job on Solyndra . You are some extremely skilled venture capitalist . Stick to the memoirs and speeches .
38,38,Tom Tiffany ( @ TomTiffanyWI ) is a Great Advocate for the incredible people of Wisconsin ( WI07 ) . We need Tom in Congr …
39,39,"Tom Steyer who , other than Mini Mike Bloomberg , spent more dollars for NOTHING than any candidate in history , quit …"
40,40,"This November , we are going to defeat the Radical Socialist Democrats and win the Great State of Iowa in a Historic …"
41,41,The Democrat Party has given up on counting votes in Iowa . Looks like it all got computer “ fried ” . Nobody knows who …
42,42,". . . . intimidated by this national left wing media , that reduces most politicians and most public figures to whining , …"
43,43,"No reason to turn it down , except politics . We have plenty of testing . Maybe you need a new Doctor over there . Craz …"
44,44,Texas to open businesses in phases beginning Friday . Great job being done by @ GregAbbott_TX
45,45,My thoughts on the situation in Norway and Amanda Knox . . . # trumpvlog
46,46,Thank you Frank . It ’ s ABC Fake News . They knew they were wrong when they went with this Hoax of a story !
47,47,""" Increasing America ’ s debt weakens us domestically and internationally . "" - US Senator @ BarackObama , 2007"
48,48,"“ With the Tax Cuts and new Trade Deals , we were set for a tremendous growth rate this year . . . . and then the Virus c …"
49,49,"Mark it on your calendar : Comedy Central Roast , March 15th at 10 : 30 pm , for the Roast of Trump"
50,50,I ' ve been visiting Trump Int ' l Golf Links Scotland and the course will be unmatched anywhere in the world . Spectacular !
51,51,# badratings @ Lawrence ' s show failed at 8pm and is failing ( even worse ) at 10pm - not long for tv . . . . .
52,52,"So good to see that Republicans will be winning the Great State of Alabama Senate Seat back , now that lightweight S …"
53,53,Read this about @ lawrence . . . . . .
54,54,"My interview on @ theviewtv discussing # TimeToGetTough , the GOP primary and the Newsmax - @ iontv debate ( starts at 23 : 00 )"
55,55,A clip from my @ foxandfriends interview discussing how Newsmax - @ iontv debate is determining the GOP primary polls
56,56,Thank you @ JennPellegrino @ OANN
57,57,". . . . I have been packed all day with meetings , I have no time for stupidity . We ’ re working around the clock to KEEP AMERICA SAFE !"
58,58,51 % of @ JonHuntsman ' s NH voters are satisfied with @ BarackObama as president So is @ JonHuntsman !
59,59,Going well despite the Fake News !
60,60,Congressman Bill Johnson ( @ JohnsonLeads ) is an incredible fighter for the Great State of Ohio ! He ’ s a proud Veteran …
61,61,"Elizabeth Warren , sometimes referred to as Pocahontas , is having a really bad night . I think she is sending signals …"
62,62,"For more information on tonight ' s two hour telethon , 8 to 10 p . m . :"
63,63,"My @ FoxNews interview on @ FNTTHe Five discussing the # TimeToGetTough , the GOP primary and China ' s tariff on our cars"
64,64,Oil is double the price now compared to last year - - OPEC is laughing at @ BarackObama .
65,65,Does @ BarackObama ever work ? He is constantly campaigning and fundraising - - on both the taxpayer ' s dime and time - - - not fair !
66,66,"For decades the @ CDCgov looked at , and studied , its testing system , but did nothing about it . It would always be i …"
67,67,I will be developing the two tallest towers in the Republic of Georgia .
68,68,An absolute disgrace !
69,69,Why I would not have approved the deal . . . # trumpvlog
70,70,Biden / Obama were a disaster in handling the H1N1 Swine Flu . Polling at the time showed disastrous approval numbers . …
71,71,Now @ BarackObama is planning to have we the taxpayers pay off mortgages - - he will spend this country into the ground .
72,72,Thank you Clint !
73,73,Catch my interview on the @ hannityshow tonight at 9pm on @ foxnews .
74,74,Great meeting on Capitol Hill with the @ SenateGOP !
75,75,THANK YOU MISSOURI ! # KAG2020
76,76,Sleepy Joe thought this was OK . Not me !
77,77,"The United States cannot , & amp ; will not , become such a difficult place to deal with in terms of foreign countries buyi …"
78,78,Really ? Have you looked at the numbers lately !
79,79,"The White House Press Conference will take place today at 1 : 00 P . M . , recognizing that it is Good Friday !"
80,80,". . . . He ’ s 100 % pro - life , strong on # 2A and Loves our Military and Vets . Chris has my Complete and Total Endorsement !"
81,81,"I think they should blame RUSSIA , RUSSIA , RUSSIA again ! If they can ’ t count votes properly , how are they going to r …"
82,82,"Looks like a third rate Grandstander named @ RepThomasMassie , a Congressman from , unfortunately , a truly GREAT State …"
83,83,"My Approval Rating in the Republican Party = 95 % , a record ! Big Iowa win . Approval Rating overall = 53 % , a new high …"
84,84,""" CNBC Titans : Donald Trump "" will be shown Friday Nov 19th at 9 pm and 1 am , Sunday 11 / 21 at 9 pm and 11 / 24 at 7 pm"
85,85,Governor Cuomo should spend more time “ doing ” and less time “ complaining ” . Get out there and get the job done . Stop …
86,86,". @ dagenmcdowell , “ Every Democrat is running to raise taxes . She ( Pocahontas ) lied about her ethnicity , that was her …"
87,87,“ You go around Pennsylvania and you see Trump signs everywhere . The Donald Trump situation is bigger than the Reaga …
88,88,Four more days until the Miss Universe Pageant . Be sure to tune in on Monday night at 9 p . m . on NBC - - it will be an amazing show .
89,89,"At my request , effective midnight tonight , Carnival , Royal Caribbean , Norwegian , and MSC have all agreed to suspend …"
90,90,"Just received a briefing on the Coronavirus in China from all of our GREAT agencies , who are also working closely w …"
91,91,Iran ' s continued public threats of annihilating @ Israel are unacceptable . Iran ' s nuclear drive must be stopped . # TimeToGetTough
92,92,True !
93,93,I was on the TODAY Show this morning and then visited Regis & Kelly . The Celebrity Apprentice starts this Sunday night — don ’ t miss it !
94,94,If only speeches could create jobs then @ BarackObama wouldn ' t have such a dismal economic record .
95,95,"Great Job by Judicial Watch . Potentially a treasure trove . Too bad you are not given more help , but it will all wor …"
96,96,"With a record deficit and $ 15 trillion in debt , @ BarackObama is spending $ 4 million of our money on his Hawaii vacation . Just plain wrong ."
97,97,I have traveled the world . America is the most beautiful country on Earth .
98,98,and yet another . . . all of them are spectacular .
99,99,THe 2012 election is the most important in my lifetime . We must nominate a candidate who will win and will roll back @ BarackObama ' s damage .
100,100,"If the UN unilaterally grants the Palestinians statehood , then the US should cut off all its funding . Actions have consequences ."
101,101,"Nancy Pelosi just said , “ I don ’ t know if we can be ready this week . ” In other words , it ’ s off to vacation for the D …"
102,102,So nice !
103,103,"Be sure to watch Oprah today ( 4 pm on Channel 7 ) , I ' ll be on with my entire family and it will be an entertaining"
104,104,"Don ' t forget to watch Donald J . Trump ' s Fabulous World of Golf - - - tonight at 9 pm , Golf Channel"
105,105,The economy won ' t fully recover until @ ObamaCare is fully repealed . It is a job killer !
106,106,"If the Fake News Opposition Party is pushing , with all their might , the fact that President Trump “ ignored early wa …"
107,107,"Somebody please explain to Cryin ’ Chuck Schumer that we do have a military man in charge of distributing goods , a v …"
108,108,@ RonPaul has some serious ideas which deserve serious consideration . Wrong for media to ignore him .
109,109,"Great photos from a SOUTHERN BORDER WALL Briefing with Secretary of Defense , Mark @ EsperDoD !"
110,110,My @ hannityshow interview from Monday discussing # TimeToGetTough and the 2012 election .
111,111,Washington Dems have spent the last 3 years trying to overturn the last election – and we will make sure they face …
112,112,Who will be the next @ TheRealTeenUSA ? Find out this Saturday at 8PM ET on missteenusa . com # TeenUSA
113,113,"Why does @ BarackObama continue to defend radical Islam ? He is calling the Ft . Hood massacre "" workplace violence . """
114,114,Thank you to my boy !
115,115,My interview from last night with @ piersmorgan discussing OWS
116,116,Countdown to @ AmericaNowRadio as my former # Apprentice Andy and I talk about politics an … ( cont )
117,117,". . . . We have the greatest healthcare system , experts , scientists and doctors anywhere in the world . Together , we will PREVAIL !"
118,118,"HYDROXYCHLOROQUINE & amp ; AZITHROMYCIN , taken together , have a real chance to be one of the biggest game changers in the …"
119,119,@ TheDailyShow @ Lawrence Panama is not a Trump development . We only manage it after it is built . They also licensed the name .
120,120,China is so brazen that they now give us economic advice - - they tell us what to do - - - much like a strong stockh … ( cont )
121,121,"Our pathetic , slow moving Federal Reserve , headed by Jay Powell , who raised rates too fast and lowered too late , sh …"
122,122,". @ CardinalDolan Thank you for a great call yesterday with Catholic Leaders , and a great Service today from @ StPatsNYC !"
123,123,""" Instead of creating new jobs , Obamacare is destroying jobs . And the worst part is yet to come , since the truly ( cont )"
124,124,“ NO PRESSURE ”
125,125,In order to save Medicare and stop record premium increases - - we must repeal ObamaCare .
126,126,"The Fake News Media is looking hard for the Big Democrat Story , but there is nothing too fabulous . Wouldn ’ t a big s …"
127,127,"While @ BarackObama continues to defend ObamaCare in the courts , he is also granting companies waivers . Eve … ( cont )"
128,128,My interview yesterday with @ foxandfriends discussing the failure of the Super Committee and GOP 2012 . . . .
129,129,OPEC is ripping us off on oil . We are ripping ourselves off by investing in unproven green energy . # Solyndra
130,130,John James will be a GREAT Senator for Michigan !
131,131,Why is the UN planning to attack @ Israel ' s sovereignty and ignore Iran ' s nuclear program ? The US should look at future funding .
132,132,"Nothing done wrong , READ THE TRANSCRIPTS !"
133,133,"Great poll in Iowa , where I just landed for a Big Rally ! # KAG2020 🇺 🇸"
134,134,Check out the Trump Fabulous World of Golf site to meet the Fazio family - - - master golf course
135,135,Our CoronaVirus Team has been doing a great job . Even Democrat governors have been VERY complimentary !
136,136,"“ Who better than @ RepRatcliffe , who got to the bottom of the FISAGATE & amp ; RUSSIAGATE HOAX . It makes a lot of sense to …"
137,137,Celebrity Apprentice continues to be a top ten trend on twitter this morning
138,138,"Our deficits are caused by runaway spending , not inadequate taxing . Washington does not have a revenue problem ."
139,139,""" For too long we ' ve been pushed around , used by other countries , and ill - served by politicians in Washington who ( cont )"
140,140,and here ' s
141,141,Washington will continue to run record deficits into the election . We are borrowing at a rate of $ 1 . 40 from China . Truly unsustainable .
142,142,"Unbelievable how he gets away with it : @ BarackObama is flying around on Air Force One , laughing at everybod … ( cont )"
143,143,Thank you Kirstie !
144,144,"They are really mad at Senator Joe Munchkin in West Virginia . He couldn ’ t understand the Transcripts . Romney could , but didn ’ t want to !"
145,145,"“ Schiff doesn ’ t have a case telling the truth , so he ’ s manufacturing things . ” Rush Limbaugh @ foxandfriends"
146,146,"Imitation is the sincerest form of flattery - "" Huntsman goes Donald Trump """
147,147,". . . . It is the decision of the President , and for many good reasons . With that being said , the Administration and I …"
148,148,Can ’ t believe they are not going after Schumer for the threats he made to our cherished United States Supreme Court …
149,149,""" People who have the ability to work should . But with the government happy to send checks , too many of them don ' t . "" # TimeToGetTough"
150,150,But they really knew who was going to win !
151,151,"From Donald Trump : “ I ’ m so proud of my wife Melania and the launch of her new jewelry line , to debut on QVC on April 30th at 9 p . m . ”"
152,152,"I would find it hard to believe that failed presidential candidates Tom Steyer , or Mini Mike Bloombeg , would contri …"
153,153,"A poll of Radical Left , Do Nothing Democrats just came out in Florida . Nice results !"
154,154,AMAZING - @ BarackObama has actually found a government program he can cut in half - the Defense Department . . . bad ( cont )
155,155,"Nevada , I hear you on Yucca Mountain and my Administration will RESPECT you ! Congress and previous Administrations …"
156,156,This has been a very difficult decision regarding the Presidential run and I want to thank all my twitter fans for your fantastic support .
157,157,"Pocahontas , working in conjunction with the Democrat Party , totally destroyed the campaign of Bernie Sanders . If sh …"
158,158,". . . . in January and February , as the Virus spread globally ? Why did the W . H . O . wait as long as it did to take decisi …"
159,159,"My thoughts on Gadhafi ' s death , @ BarackObama , and the misery index . . . # trumpvlog"
160,160,"Be prepared for a sensational episode of The Apprentice tomorrow night , 10 pm on NBC ."
161,161,"Massive amounts of medical supplies , even hospitals and medical centers , are being delivered directly to states and …"
162,162,READ THE TRANSCRIPTS !
163,163,. . . alone attracted 6 . 2 million viewers for the president ’ s briefing — an astounding number for a 6 p . m . cable broad …
164,164,"We have appointed 220 Federal Judges and two Supreme Court Justices . PROMISES MADE , PROMISES KEPT !"
165,165,"Check out today ' s video blog I want to answer more of your questions , tweet me . . . . ."
166,166,My interview yesterday with @ TeamCavuto where I discuss Dick Cheney and China
167,167,Jeff Van Drew is a Courageous Leader that left the Do Nothing Democrats to better serve the Great people of New Jer …
168,168,@ BarackObama - - honored and excited to be listed on @ AttackWatch . Thanks . BTW - - where are the jobs ? Donald .
169,169,". @ LarrySabato is much better at giving you the answer after everything is finished and the final result is in , than …"
170,170,. . . . Example ! V . P . Mike Pence held a conference call yesterday with all Democrat Senators . He gave them everything t …
171,171,Biden / Obama were a disaster in handling the H1N1 Swine Flu . Polling at the time showed disastrous approval numbers . …
172,172,""" We have to combat the welfare mentality that says individuals are entitled to live off taxpayers . "" # TimeToGetTough"
173,173,So much of the Lamestream Media is writing and broadcasting stories with facts that are made up and knowingly wrong …
174,174,. . . And a swamp creature with “ pull ” was just sentenced to two months in jail for a similar thing that they want Sto …
175,175,"“ Again : Read the Transcript ! ” Michael Goodwin , New York Post , Sunday ."
176,176,I am honored to be chosen by Gray Line for their NY Ride of Fame Campaign . Today we had the ribbon cutting ceremony in front of Trump Tower .
177,177,Crazy Bernie and the Democrats should see this . I have done far more for the African American community than any Pr …
178,178,"Lyin ’ Brian Williams of MSDNC , a Concast Scam Company , wouldn ’ t know the truth if it was nailed to his wooden foreh …"
179,179,"Nobody wants to say that if Elizabeth Warren gets out of the race before Super Tuesday , Crazy Bernie Sanders wins v …"
180,180,". . . . is NOT their fault in any way , shape , or form . They are working closely with us to get rid of it . WE WILL PREVAIL TOGETHER !"
181,181,CHINESE VIRUS FACT CHECK
182,182,. . . . My co - chair in Utah and a really great guy . Sean has my Complete and Total Endorsement !
183,183,"With gas prices rising and the economy failing , @ BarackObama seeks to have his EPA raise energy prices by $ 109B"
184,184,"Illegal immigration is a wrecking ball aimed at US taxpayers . Washington needs to get tough and fight for "" W … ( cont )"
185,185,"I predicted the 9 / 11 attack on America in my book "" The America We Deserve "" and the collapse of Iraq in @ TimeToGetTough ."
186,186,@ BarackObama trillion $ stimulus was supposed to create jobs - - instead it gave us more debt and higher unemployment .
187,187,"@ TrumpCollection tops @ TravlandLeisure 500 Best Hotels in the World ! Congrats @ TrumpNewYork , @ TrumpLasVegas , @ TrumpChicago , @ TrumpSoHo"
188,188,THANK YOU MICHIGAN ! # KAG2020
189,189,I will be having a White House Press Conference today at 5 : 45 P . M . Thank you !
190,190,"THANK YOU Las Vegas , Nevada ! I was delighted to be back in a state I love , with proud , hardworking PATRIOTS . With y …"
191,191,I will be on the @ todayshow tomorrow morning to make a major announcement about a television show . Stay tuned !
192,192,"Just as I predicted , @ Joe_Biden was a complete disaster in China . He condoned the Chinese one - child policy an … ( cont )"
193,193,Donald Trump ’ s commercial - free WWE Raw does big rating :
194,194,Met @ newtgingrich at Trump Tower today . He ' s a big thinker .
195,195,@ BarackObama delayed the Keystone pipeline decision until 2013 .   Now Canada is looking to export more oil to China .
196,196,Buy the book and give Liz some Great Reviews ! @ OANN
197,197,The great people of Montana can have no better VOICE than Senator @ SteveDaines . He is doing an incredible job ! Whoe …
198,198,New Blog Post : Celebrity Apprentice Finale and Lessons Learned Along the Way :
199,199,"I hear that Fake News CNN just reported that I am isolated in the White House , wondering out loud , “ when will life …"
200,200,"It ’ s all turning , and fast ! MVP Heckler ."
201,201,My @ MorningJoe interview with @ JoeNBC & @ morningmika discussing the Newsmax - @ iontv debate and # TimeToGetTough
202,202,It seems there is never a problem for which @ BarackObama cannot find a reason for another speech and another tax .
203,203,"More than anything else , the Radical Left , Do Nothing Democrats , like AOC , Omar , Cryin ’ Chuck , Nervous Nancy & amp ; Shif …"
204,204,"Is this the Judge that put Paul Manafort in SOLITARY CONFINEMENT , something that not even mobster Al Capone had to …"
205,205,They are Fake News Losers !
206,206,@ BarackObama has sold guns to Mexican drug lords while his DOJ erodes our 2nd Amendment rights .
207,207,Iran ' s quest for nuclear weapons is a major threat to our nation ' s national security interests . We can ' t allow Iran to go nuclear .
208,208,I answered some of your questions in today ' s video . . .
209,209,"Word is that Mini Mike Bloomberg performed so poorly in the two debates , that he is thinking about dropping out of …"
210,210,Mini Mike is a 5 ’ 4 ” mass of dead energy who does not want to be on the debate stage with these professional politic …
211,211,The Lamestream Media wants us to fail . That will NEVER happen !
212,212,"I ' ll be signing copies of my new book "" Time To Get Tough "" tomorrow in Trump Tower - - 11 am to 2 pm . Hope to see you there ."
213,213,"From Donald Trump : Wishing everyone a wonderful holiday & a happy , healthy , prosperous New Year . Let ’ s think like champions in 2010 !"
214,214,Congratulations to @ FoxNews !
215,215,When will @ BarackObama release an actual budget ?
216,216,. . . . Federal Government . A quarantine will not be necessary . Full details will be released by CDC tonight . Thank you !
217,217,"Friends in NY - 9 , let @ BarackObama know that you don ' t approve of his mistreatment of @ Israel . Vote for @ Bobturner9th tomorrow !"
218,218,"Great Rally In Colorado . Thank you , will be back soon !"
219,219,This week ' s The Celebrity Apprentice video blog . . .
220,220,and stay at the fantastic Trump International Hotel Las Vegas
221,221,Very exciting . I will be at Macy ’ s Herald Square this Wednesday at 5 : 30pm to celebrate the launch of Trump Home crystal !
222,222,"The new job figures don ' t include 315 , 000 people who have given up looking for jobs ."
223,223,I watched a portion of low rated ( very ) Morning Psycho ( Joe ) this Morning in order to see what Nancy Pelosi had to …
224,224,I will be having a White House Press Conference today at 5 : 30 P . M . Thank you !
225,225,"Ronald Reagan ’ s great economist , the recipient of the Presidential Medal of Freedom , has just said great things about a Payroll Tax Cut !"
226,226,Scotland is beautiful and Trump Internatonal Golf Links - Scotland is progressing beautifully as well .
227,227,"Eric , I can live with that !"
228,228,I will be having a news conference today to discuss very important news from the FDA concerning the Chinese Virus !
229,229,"Congress must pass the old , and very strongly proven , deductibility by businesses on restaurants and entertainment . …"
230,230,"Leading also in New Hampshire and most states . The Fake News hates to report this , but you will see on November 3rd ."
231,231,I will be having a White House Press Conference today at 5 : 00 P . M . Thank you !
232,232,"Democrats are now the party of high taxes , high crime , open borders , late - term abortion , socialism , and blatant cor …"
233,233,"A so - called reporter named @ JohnJHarwood , who bombed so badly in the 2016 Presidential Debates that I thought he wa …"
234,234,"My @ FoxNews interview from yesterday with @ TeamCavuto discussing the economy , my trip to Australia , @ MittRomne … ( cont )"
235,235,My @ FoxNews interview with @ TeamCavuto discussing why I will not be moderating the Newsmax - @ iontv debate
236,236,Congratulations to @ RickSantorum for coming out of Iowa a winner !
237,237,""" What is a bit appealing about this idea of Trump hosting a debate is , consider the diverse audience that perh … ( cont )"
238,238,Watch video of Ivanka Trump sharing business advice with 4 entrepreneurial women on GMA :
239,239,""" The Wall Street Journal has reported that Obama ' s food stamp policies are ushering in a massive ' food stamp crime wave . ' "" # TimeToGet Tough"
240,240,"I will be signing copies of my new book TIME TO GET TOUGH tomorrow , Dec 9th , in Trump Tower from 11 a . m . to … ( cont )"
241,241,"The Eric Trump Foundation has raised over $ 1 , 000 , 000 towards St . Jude Children ' s Research Hospital ."
242,242,I will be having a White House Press Conference today at 5 : 30 P . M . Thank you !
243,243,"THe Westminster Dog Show asked if I ' d be interested in meeting Hickory , a Scottish Deerhound , who won Best in Show . She came to visit today !"
244,244,"KEEPING THE WORKPLACE SAFE , ENCOURAGE YOUR EMPLOYEES TO . . . ."
245,245,So nice to see this great honor . Thank you ( but haven ’ t played golf in a long time ) !
246,246,"My friend ( always there when I ’ ve needed him ! ) , Senator @ RandPaul , was just tested “ positive ” from the Chinese Viru …"
247,247,Watch Donald J . Trump ' s Fabulous World of Golf on Golf Channel tonight at 9 pm ET
248,248,My thoughts on last night ' s Celebrity Apprentice also an observation I made recently
249,249,MSDNC and FAKE NEWS CNN are going wild trying to protect China !
250,250,The big Oil Deal with OPEC Plus is done . This will save hundreds of thousands of energy jobs in the United States . …
251,251,"My interview with Greta last night on Fox News - - "" Nation Has Become "" All Talk , No Action ' """
252,252,Thank you @ HerschelWalker !
253,253,". @ MikeGarcia2020 will be a tremendous fighter for the U . S . and the State of California . An Annapolis graduate , he s …"
254,254,وزیر امور خارجه ایران می گوید ایران خواستار مذاکره با ایالات متحده است اما می خواهد که تحریم ها برداشته شود . …
255,255,LIGHT AT THE END OF THE TUNNEL !
256,256,"@ BarackObama ' s method of spending the stimulus - - "" Obama fundraiser linked to loan program that aided Solyndra """
257,257,"“ I often get asked the question , well , isn ’ t the President going to be stronger and harder to beat if he survives t …"
258,258,"95 % Approval Rating in the Republican Party , a Record ! 53 % overall ( plus add 9 points ? ) . Corrupt Democrat politicia …"
259,259,“ Ralph Waldo Emerson seemed to foresee the lesson of the Senate Impeachment Trial of President Trump . ‘ When you str …
260,260,I applaud @ netanyahu for announcing that he will show up at the UN to defend @ Israel . A true US friend and great leader .
261,261,The Comedy Central Roast of Donald Trump last week was the # 1 highest rated Comedy Central Roast ever . . . it brought in 3 . 5 milion viewers
262,262,DeFace the Nation will tell @ LindseyGrahamSC that he must start up Judiciary and not stop until the job is done . Cl …
263,263,We will never let the great U . S . Oil & amp ; Gas Industry down . I have instructed the Secretary of Energy and Secretary o …
264,264,China wants Sleepy Joe sooo badly . They want all of those billions of dollars that they have been paying to the U . S …
265,265,The BEST decision made was the toughest of them all - which saved many lives . Our VERY early decision to stop trave …
266,266,"Please send a psychiatrist to help @ Rosie , she ’ s in a bad state . To @ Rosie ’ s girlfriend ’ s parents - - - get ( cont )"
267,267,I am calling on Congress to send me a Bill that fully and permanently funds the LWCF and restores our National Park …
268,268,"This is what a future State of Palestine can look like , with a capital in parts of East Jerusalem ."
269,269,"“ Consider the fact that for every gallon of gas you put in your car , you pay 45 . 8 cents in state , local , and federal taxes . ” # TimeToGetTough"
270,270,"Pandering Mini Mike Bloomberg , along with his wacky friend , Tom Steyer , have found out the hard way that you can ’ t …"
271,271,"The @ SuperCommittee must cut spending , not raise taxes . Washington has a spending problem , not a revenue problem ."
272,272,""" If history teaches us anything , it ' s that strong nations require strong leaders with clearly defined national ( cont )"
273,273,"I was on The View this morning . We talked about The Apprentice . Tonight ' s episode is a great one - - tough , exciting and surprising . 10 pm / NBC"
274,274,The Russia Hoax is the biggest political scandal in American history . Treason ! ! ! Lets see how it ends ? ? ? ?
275,275,. @ AugustPfluger is a Great Veteran and Strong Leader for Texas where he is running for Congress . He will protect yo …
276,276,Never knew John Kerry had such a good sense of humor ! Very impressed !
277,277,Donald Trump appearing today on CNN International ’ s ‘ Connect the World ’ as ‘ Connector of the Day ’ . Submit questions :
278,278,Martha is a great leader on this issue !
279,279,. @ JodeyArrington from the Great State of Texas has been an incredible supporter of our # MAGA Agenda . Jodey fully su …
280,280,I ’ m seeing Governor Cuomo today at The White House . He must understand that National Security far exceeds politics . …
281,281,Check out my interview on @ GMA
282,282,China is stealing our jobs . We need to demand China stop manipulating its currency and end its rampant corporate espionage .
283,283,Working very well with States and our Nation ’ s Governors . # TEAMWORK
284,284,"“ I like President Trump ’ s Tweets ( Social Media ) , I like everything about him . . . and this Ukraine stuff , the trial , t …"
285,285,"Scotland is beautiful . I spent several years looking for the right place , visiting over 200 sites , and this is absolutely the right place !"
286,286,"Frances Hakes , former Federal prosecutor , “ This is really significant . The FBI had debunked the Steele Dossier in J …"
287,287,My thoughts on this week ' s episode of The Celebrity Apprentice . . . # trumpvlog
288,288,"@ BarackObama You have abandoned Israel and engaged the Muslim Brotherhood , and even the Arab world does not like it"
289,289,"My deepest sympathies go out to Frieda Chera and the family of the late , great , Stanley Chera , one of Manhattan ’ s m …"
290,290,Republicans should fight very hard when it comes to state wide mail - in voting . Democrats are clamoring for it . Trem …
291,291,Went to the Yankees game last night with Bill O ' Reilly - - we had a great time watching the Yankees win !
292,292,"If you want to get money into the hands of people quickly & amp ; efficiently , let them have the full money that they ear …"
293,293,So true !
294,294,We ' re all proud of @ erictrump for being on @ Forbes 30 Under 30 list .
295,295,"108 countries are dealing with the CoronaVirus problem , some of which we are helping !"
296,296,Spelled @ GiannoCaldwell !
297,297,". . . . always continue . Every Republican Senator except Romney , many highly religious people , all very smart , voted ag …"
298,298,There has rarely been a juror so tainted as the forewoman in the Roger Stone case . Look at her background . She neve …
299,299,"Trump Tower is located at 725 Fifth Avenue , between 56th and 57th Streets . . ."
300,300,"Congratulations to our new Miss USA , the beautiful Rima Fakih . Rima will represent us well at Miss Universe and be a wonderful Miss USA ."
301,301,Work is expected to begin today on my golf course in Scotland . It will be spectacular !
302,302,is The Biggest Tax Increase In U . S . History - - repeal it as part of any deal .
303,303,Perhaps this is the kind of thinking we need in Washington . . .
304,304,"I watched POTUS speech from Europe - - - same old "" tax and spend "" won ' t create jobs ."
305,305,“ President Trump is a ratings hit . Since reviving the daily White House briefing Mr . Trump and his coronavirus upda …
306,306,The Federal Reserve must FINALLY lower the Fed Rate to something comparable to their competitor Central Banks . Jay …
307,307,Thank you to William Perry Pendley of the Bureau of Land Management . Great job on @ TuckerCarlson describing some of …
308,308,So Great !
309,309,Yesterday I explained to @ wolfblitzercnn on @ CNNSitRoom why @ BarackObama doesn ' t deserve credit for killing Bin Laden
310,310,We can create jobs in the American economy by protecting our own manufacturing sector .
311,311,Wow !
312,312,"Just landed . India was great , trip very successful . Heading to the White House . Meetings and calls scheduled today . …"
313,313,White House news conference at 5 : 00 P . M . Eastern . Thank you !
314,314,"This is the way the @ nytimes finished a story on me . “ You can see the contrast between the steady , assured , informe …"
315,315,""" He thinks that the wealth you create belongs to the government - - @ BarackObama doesn ' t respect the fact that the ( cont )"
